species_slug,585215,585220,580220,580215,625165,625170,550185,575210,600200,575245,545180,575215,151,252,300,301,154,572,573,226,251,145,maps
ajuga-reptans,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"['585215' '585220' '580220' '580215' '625165' '625170' '550185' '575210'
 '600200' '575245' '545180' '575215' '151' '252' '300' '301' '154' '572'
 '573' '226' '251' '145']"
alcea-rosea,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,['585220' '600200' '545180' '575215' '151' '252' '300' '154' '226' '251']
alchemilla-alpina,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,['625170' '600200' '154' '572' '573']
alchemilla-conjuncta,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,['625165' '625170' '151' '572' '573' '251']
alchemilla-coriacea,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,['580220' '625170' '151' '301' '154' '251']
alchemilla-fissa,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,['625170' '572' '573']
alchemilla-glabra,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,['585220' '580220' '625170' '600200' '151' '154' '572' '226' '251' '145']
alchemilla-grossidens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['154']
alchemilla-hoppeana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['154']
alchemilla-hybrida,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,['625170' '600200' '151' '226' '251' '145']
alchemilla-micans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,['154' '145']
alchemilla-mollis,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,['625170' '600200' '251' '145']
alchemilla-monticola,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,['600200' '151' '154' '145']
alchemilla-plicatula,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,['625170' '154' '572' '573']
alchemilla-reniformis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['154']
alchemilla-speciosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['251']
alchemilla-splendens,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,['625170' '572' '573']
alchemilla-vulgaris,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,"['585220' '580220' '580215' '625165' '625170' '575210' '600200' '575245'
 '545180' '575215' '151' '301' '154' '572' '573' '226' '251' '145']"
alchemilla-xanthochlora,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,['585220' '580220' '600200' '575245' '151' '154' '251' '145']
alisma-gramineum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['251']
alisma-lanceolatum,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,"['585215' '550185' '575210' '545180' '575215' '151' '252' '300' '301'
 '154' '226' '251']"
alisma-plantago-aquatica,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,"['585215' '585220' '625165' '550185' '575210' '600200' '575245' '545180'
 '151' '252' '300' '301' '154' '573' '226' '251' '145']"
alliaria-petiolata,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"['585215' '585220' '580220' '580215' '625170' '550185' '575210' '600200'
 '575245' '545180' '575215' '151' '252' '300' '301' '154' '572' '573'
 '226' '251' '145']"
allium-angulosum,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,"['585215' '585220' '580215' '625165' '575210' '151' '252' '300' '301'
 '154' '572' '573' '251']"
allium-carinatum,0,2,0,3,2,1,2,3,2,0,0,3,3,3,1,0,3,2,2,2,2,0,"['585220' '580215' '625165' '625170' '550185' '575210' '600200' '575215'
 '151' '252' '300' '154' '572' '573' '226' '251']"
allium-cepa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,['252' '251']
allium-lusitanicum,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,['585215' '580220' '625170' '575215' '151' '300' '572' '573']
allium-nigrum,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['580215' '151']
allium-oleraceum,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"['585220' '580220' '580215' '625165' '575210' '600200' '575245' '545180'
 '575215' '151' '252' '300' '301' '154' '572' '573' '226' '251' '145']"
allium-paniculatum,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['151']
allium-porrum,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,['545180' '226']
allium-rotundum,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['625170' '572']
allium-sativum,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,['545180' '251']
