species_slug,BL,WL,under_sampled,red_list,cert_list,lists
paulownia-tomentosa,0,1,0,0,0,['WL']
pedicularis-ascendens,0,0,0,1,0,['red_list']
pedicularis-aspleniifolia,0,0,0,1,0,['red_list']
pedicularis-foliosa,0,0,0,1,1,['red_list' 'cert_list']
pedicularis-gyroflexa,0,0,0,1,0,['red_list']
pedicularis-kerneri,0,0,0,1,0,['red_list']
pedicularis-oederi,0,0,0,1,0,['red_list']
pedicularis-palustris,0,0,0,1,0,['red_list']
pedicularis-recutita,0,0,0,1,0,['red_list']
pedicularis-rostratocapitata,0,0,0,1,0,['red_list']
pedicularis-rostratospicata,0,0,1,1,0,['under_sampled' 'red_list']
pedicularis-sylvatica,0,0,0,1,0,['red_list']
pedicularis-tuberosa,0,0,0,1,1,['red_list' 'cert_list']
pedicularis-verticillata,0,0,0,1,1,['red_list' 'cert_list']
petasites-albus,0,0,0,1,1,['red_list' 'cert_list']
petasites-hybridus,0,0,0,1,1,['red_list' 'cert_list']
petasites-paradoxus,0,0,0,1,0,['red_list']
petrocallis-pyrenaica,0,0,0,1,0,['red_list']
petrorhagia-prolifera,0,0,0,1,0,['red_list']
petrorhagia-saxifraga,0,0,0,1,0,['red_list']
peucedanum-austriacum,0,0,0,3,0,['red_list']
peucedanum-carvifolia,0,0,0,1,0,['red_list']
peucedanum-cervaria,0,0,0,1,0,['red_list']
peucedanum-oreoselinum,0,0,0,1,0,['red_list']
peucedanum-ostruthium,0,0,0,1,1,['red_list' 'cert_list']
peucedanum-palustre,0,0,0,1,0,['red_list']
peucedanum-venetum,0,0,0,1,0,['red_list']
peucedanum-verticillare,0,0,0,1,0,['red_list']
phalaris-arundinacea,0,0,0,1,0,['red_list']
phegopteris-connectilis,0,0,0,1,0,['red_list']
phleum-alpinum,0,0,0,2,1,['red_list' 'cert_list']
phleum-bertolonii,0,0,1,1,0,['under_sampled' 'red_list']
phleum-hirsutum,0,0,0,1,0,['red_list']
phleum-paniculatum,0,0,0,1,0,['red_list']
phleum-phleoides,0,0,0,1,0,['red_list']
phleum-pratense,0,0,0,2,1,['red_list' 'cert_list']
phleum-rhaeticum,0,0,1,1,0,['under_sampled' 'red_list']
phragmites-australis,0,0,0,1,1,['red_list' 'cert_list']
phyllitis-scolopendrium,0,0,0,1,1,['red_list' 'cert_list']
phyteuma-betonicifolium,0,0,0,1,1,['red_list' 'cert_list']
phyteuma-globulariifolium,0,0,0,3,0,['red_list']
phyteuma-hedraianthifolium,0,0,0,1,0,['red_list']
phyteuma-hemisphaericum,0,0,0,1,1,['red_list' 'cert_list']
phyteuma-humile,0,0,0,1,0,['red_list']
phyteuma-orbiculare,0,0,0,1,1,['red_list' 'cert_list']
phyteuma-ovatum,0,0,0,1,0,['red_list']
phyteuma-scheuchzeri,0,0,0,1,0,['red_list']
phyteuma-scorzonerifolium,0,0,0,1,0,['red_list']
phyteuma-spicatum,0,0,0,3,1,['red_list' 'cert_list']
phytolacca-americana,0,1,0,0,0,['WL']
picea-abies,0,0,0,1,1,['red_list' 'cert_list']
picris-hieracioides,0,0,0,1,0,['red_list']
pilularia-globulifera,0,0,0,1,0,['red_list']
pimpinella-alpina,0,0,0,1,0,['red_list']
pimpinella-major,0,0,0,1,0,['red_list']
pimpinella-nigra,0,0,0,1,0,['red_list']
pimpinella-saxifraga,0,0,0,2,0,['red_list']
pinguicula-alpina,0,0,0,1,1,['red_list' 'cert_list']
pinguicula-grandiflora,0,0,0,1,0,['red_list']
pinguicula-leptoceras,0,0,0,1,0,['red_list']
pinguicula-vulgaris,0,0,0,1,1,['red_list' 'cert_list']
pinus-cembra,0,0,0,1,1,['red_list' 'cert_list']
pinus-mugo,0,0,1,3,2,['under_sampled' 'red_list' 'cert_list']
pinus-sylvestris,0,0,0,1,1,['red_list' 'cert_list']
pisum-sativum,0,0,0,1,0,['red_list']
plantago-alpina,0,0,0,1,1,['red_list' 'cert_list']
plantago-arenaria,0,0,0,1,0,['red_list']
plantago-atrata,0,0,0,1,1,['red_list' 'cert_list']
plantago-lanceolata,0,0,0,1,1,['red_list' 'cert_list']
plantago-major,0,0,0,3,1,['red_list' 'cert_list']
plantago-media,0,0,0,1,1,['red_list' 'cert_list']
plantago-sempervirens,0,0,0,1,0,['red_list']
plantago-serpentina,0,0,0,1,0,['red_list']
platanthera-bifolia,0,0,0,1,0,['red_list']
platanthera-chlorantha,0,0,0,1,0,['red_list']
pleurospermum-austriacum,0,0,0,1,0,['red_list']
poa-alpina,0,0,0,1,1,['red_list' 'cert_list']
poa-angustifolia,0,0,0,1,0,['red_list']
poa-annua,0,0,0,1,1,['red_list' 'cert_list']
poa-badensis,0,0,0,2,0,['red_list']
poa-bulbosa,0,0,0,1,1,['red_list' 'cert_list']
poa-cenisia,0,0,0,1,0,['red_list']
poa-chaixii,0,0,0,1,0,['red_list']
poa-compressa,0,0,0,1,0,['red_list']
poa-glauca,0,0,1,1,0,['under_sampled' 'red_list']
poa-hybrida,0,0,1,1,0,['under_sampled' 'red_list']
poa-laxa,0,0,0,1,0,['red_list']
poa-minor,0,0,1,1,0,['under_sampled' 'red_list']
poa-molinerii,0,0,0,1,0,['red_list']
poa-nemoralis,0,0,0,1,0,['red_list']
poa-palustris,0,0,0,1,0,['red_list']
poa-perconcinna,0,0,0,1,0,['red_list']
poa-pratensis,0,0,0,2,1,['red_list' 'cert_list']
poa-remota,0,0,0,1,0,['red_list']
poa-supina,0,0,0,1,0,['red_list']
poa-trivialis,0,0,1,3,1,['under_sampled' 'red_list' 'cert_list']
poa-variegata,0,0,0,1,0,['red_list']
polemonium-caeruleum,0,0,0,1,0,['red_list']
polycarpon-tetraphyllum,0,0,0,1,0,['red_list']
polycnemum-arvense,0,0,0,1,0,['red_list']
polycnemum-majus,0,0,1,1,0,['under_sampled' 'red_list']
polygala-alpestris,0,0,0,1,0,['red_list']
polygala-alpina,0,0,0,1,0,['red_list']
polygala-amara,0,0,0,1,0,['red_list']
polygala-amarella,0,0,0,1,0,['red_list']
polygala-calcarea,0,0,0,1,0,['red_list']
polygala-chamaebuxus,0,0,0,1,1,['red_list' 'cert_list']
polygala-comosa,0,0,0,1,0,['red_list']
polygala-pedemontana,0,0,0,1,0,['red_list']
polygala-serpyllifolia,0,0,0,1,0,['red_list']
polygala-vulgaris,0,0,0,3,1,['red_list' 'cert_list']
polygonatum-multiflorum,0,0,0,1,1,['red_list' 'cert_list']
polygonatum-odoratum,0,0,0,1,1,['red_list' 'cert_list']
polygonatum-verticillatum,0,0,0,1,1,['red_list' 'cert_list']
polygonum-alpinum,0,0,0,1,0,['red_list']
polygonum-amphibium,0,0,0,1,0,['red_list']
polygonum-arenastrum,0,0,0,1,0,['red_list']
polygonum-aviculare,0,0,0,2,1,['red_list' 'cert_list']
polygonum-bistorta,0,0,0,1,1,['red_list' 'cert_list']
polygonum-calcatum,0,0,0,1,0,['red_list']
polygonum-hydropiper,0,0,0,1,0,['red_list']
polygonum-lapathifolium,0,0,1,4,0,['under_sampled' 'red_list']
polygonum-microspermum,0,0,0,1,0,['red_list']
polygonum-minus,0,0,0,1,0,['red_list']
polygonum-mite,0,0,0,1,0,['red_list']
polygonum-persicaria,0,0,0,1,1,['red_list' 'cert_list']
polygonum-polystachyum,1,0,0,0,0,['BL']
polygonum-rurivagum,0,0,0,1,0,['red_list']
polygonum-viviparum,0,0,0,1,1,['red_list' 'cert_list']
polypodium-cambricum,0,0,0,1,0,['red_list']
polypodium-interjectum,0,0,0,1,0,['red_list']
polypodium-vulgare,0,0,0,1,1,['red_list' 'cert_list']
polystichum-aculeatum,0,0,0,1,0,['red_list']
polystichum-braunii,0,0,0,1,0,['red_list']
polystichum-lonchitis,0,0,0,1,0,['red_list']
