"Invasive Species Compendium",
"Switzerland",
"List of Species",
"The table includes species that are invasive in this region, those for which there is no data on invasive status, and also species that are not invasive in the region but are reported as invasive elsewhere. This summary table is based on all the information available.When several references are cited, they may give conflicting information on the distribution record.Further confirmation should be sought before use. Records are included from full and basic datasheets.",
"Domain","Kingdom","Phylum","Species","Distribution","Origin","Invasive","References","Datasheet Status",
"Eukaryota","Metazoa","Annelida","Lumbricus rubellus","Present","Introduced","","Gates (1972)","Full",
"Eukaryota","Metazoa","Annelida","Lumbricus terrestris","Present","Introduced","Invasive","Gates (1972)","Full",
"Eukaryota","Metazoa","Arthropoda","Acarapis woodi (honeybee mite)","Present","","","EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Acleris variegana","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Acrolepiopsis assectella (leek moth)","Present, Widespread","","","Hadorn (1935); Weismann (1942); Siegrist (1945); Minks et al. (1994); CABI and EPPO (2007); Jenner et al. (2010); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Acrotona pseudotenera","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Actias isabellae","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Aculops lycopersici (tomato russet mite)","Present","","","Fischer and Mourrut-Salesse (2005)","Full",
"Eukaryota","Metazoa","Arthropoda","Adelges piceae (balsam woolly adelgid)","Present, Widespread","Native","","Pschorn Walcher and Zwolfer (1960); Eichhorn (1969); Eichhorn (1969); Steffan (1972); CABI/EPPO (2012)","Full",
"Eukaryota","Metazoa","Arthropoda","Aedes albopictus (Asian tiger mosquito)","Present","Introduced","","Invasive Species Specialist Group (ISSG) (2011)","Full",
"Eukaryota","Metazoa","Arthropoda","Agrotis ipsilon (black cutworm)","Present","","","UK, CAB International (1969); Freuler (1984); Hächler (1988); Hächler (1989)","Full",
"Eukaryota","Metazoa","Arthropoda","Alocentron curvirostre","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Amblyomma latum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Anoplophora chinensis (black and white citrus longhorn)","Absent, Eradicated","","","EPPO (2014); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Anoplophora glabripennis (Asian longhorned beetle)","Absent, Eradicated","","","EPPO (2020); Forster and Wermelinger (2012); CABI and EPPO (2014); Tsykun et al. (2019)","Full",
"Eukaryota","Metazoa","Arthropoda","Anthocoris butleri","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Anthrenocerus australis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Anthrenus festivus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Aphis gossypii (cotton aphid)","Present","","","UK, CAB International (1968)","Full",
"Eukaryota","Metazoa","Arthropoda","Aphis spiraecola (Spirea aphid)","Present","Introduced","Invasive","UK, CAB International (1969); CABI (Undated)","Full",
"Eukaryota","Metazoa","Arthropoda","Aphis spiraephaga","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Appendiseta robiniae","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Aproceros leucopoda (elm zigzag sawfly)","Present, Localized","","","EPPO (2020); Höelling (2018)","Full",
"Eukaryota","Metazoa","Arthropoda","Argyresthia trifasciata","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Arocatus longiceps","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Aspidapion validum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Atomaria lewisi","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Attagenus quadrimaculatus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Attagenus rossi","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Bactrocera oleae (olive fruit fly)","Present","","","Neuenschwander (1984); Merz (1994); CABI and EPPO (2015); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Bemisia tabaci (tobacco whitefly)","Present, Localized","","","CAB International and European and Mediterranean Plant Protection Organization (1998); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Bisnius parcus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Blattella germanica (German cockroach)","Present","Introduced","","Landau et al. (1999)","Full",
"Eukaryota","Metazoa","Arthropoda","Bombus lucorum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Bombus terrestris (bumble bee)","Present","Native","","Estoup et al. (1996)","Full",
"Eukaryota","Metazoa","Arthropoda","Brachymyrmex heeri","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Brachypterolus vestitus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Bruchus signaticornis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Bythotrephes longimanus (spiny waterflea)","Present, Widespread","Native","","Ketelaars and Gille (1994)","Full",
"Eukaryota","Metazoa","Arthropoda","Cacoecimorpha pronubana (carnation tortrix)","Present, Widespread","","","CABI and EPPO (2014); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Cacopsylla pulchella","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Cacyreus marshalli (pelargonium butterfly)","Present","","","EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Caenoscelis subdeplanata","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Callopsylla gemina","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Cameraria ohridella (horsechestnut leafminer)","Present, Widespread","Introduced","Invasive","Kenis and Forster (1998); CABI and EPPO (2003); Girardoz et al. (2007); Augustin et al. (2009); Péré et al. (2010); Péré et al. (2011); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Carpelimus zealandicus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Ceratitis capitata (Mediterranean fruit fly)","Present, Localized","Introduced","Invasive","Geier and Baggiolini (1953); Fischer-Colbrie and Busch-Petersen (1989); CABI and EPPO (2015); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Cercyon laminatus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Cerobasis annulata","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Ceutorhynchus obstrictus (cabbage seed pod weevil)","Present","","","Meier and Jossi (1983); Colonnelli (2004)","Full",
"Eukaryota","Metazoa","Arthropoda","Cherax destructor (yabby)","Absent, Intercepted only","","","Souty-Grosset et al. (2006)","Full",
"Eukaryota","Metazoa","Arthropoda","Chrysodeixis chalcites (golden twin-spot moth)","Present, Few occurrences","","","Karsholt and Razowski (1996); Hächler et al. (1998)","Full",
"Eukaryota","Metazoa","Arthropoda","Chrysolina americana (rosemary beetle)","Present","","","Carron et al. (2017)","Full",
"Eukaryota","Metazoa","Arthropoda","Chrysolina coerulans","Present","","","Fauna Europaea (2011)","Basic",
