"Invasive Species Compendium",
"Switzerland",
"List of Species",
"The table includes species that are invasive in this region, those for which there is no data on invasive status, and also species that are not invasive in the region but are reported as invasive elsewhere. This summary table is based on all the information available.When several references are cited, they may give conflicting information on the distribution record.Further confirmation should be sought before use. Records are included from full and basic datasheets.",
"Domain","Kingdom","Phylum","Species","Distribution","Origin","Invasive","References","Datasheet Status",
"Eukaryota","Plantae","Spermatophyta","Crupina vulgaris (bearded creeper)","Present","Native","","Braun-Blanquet (1961); Lauber and Wagner (1996)","Full",
"Eukaryota","Plantae","Spermatophyta","Cupressus sempervirens (Mediterranean cypress)","Present","Introduced","","Govaerts (2015)","Full",
"Eukaryota","Plantae","Spermatophyta","Cuscuta campestris (field dodder)","Present","Introduced","","Valentine (1972)","Full",
"Eukaryota","Plantae","Spermatophyta","Cuscuta epithymum (alfalfa dodder)","Present","Native","","Valentine (1972)","Full",
"Eukaryota","Plantae","Spermatophyta","Cuscuta europaea (European dodder)","Present","Native","","Valentine (1972)","Full",
"Eukaryota","Plantae","Spermatophyta","Cuscuta monogyna (eastern dodder)","Present","","","CABI Data Mining (2011)","Full",
"Eukaryota","Plantae","Spermatophyta","Cuscuta scandens","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Cyclamen purpurascens","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Cylindropuntia imbricata (imbricate prickly pear)","Present","","","CABI Data Mining (2011)","Full",
"Eukaryota","Plantae","Spermatophyta","Cymbalaria muralis (Kenilworth ivy)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Cynara cardunculus (cardoon)","Present","Introduced","","GBIF (2016)","Full",
"Eukaryota","Plantae","Spermatophyta","Cynodon dactylon (Bermuda grass)","Present, Widespread","Introduced","","Tutin et al. (1980)","Full",
"Eukaryota","Plantae","Spermatophyta","Cynoglossum officinale (hound's tongue)","Present","Native","","USDA-ARS (2003)","Full",
"Eukaryota","Plantae","Spermatophyta","Cyperus eragrostis (Tall flatsedge)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Cyperus esculentus (yellow nutsedge)","Present, Widespread","","","Holm et al. (1979); DAISIE (2014); EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Cyperus longus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Cyperus rotundus (purple nutsedge)","Present","","","de Filippes (1980); DAISIE (2014)","Full",
"Eukaryota","Plantae","Spermatophyta","Cytisus decumbens","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Cytisus scoparius (Scotch broom)","Present, Widespread","Native","","Heywood and Ball (1968)","Full",
"Eukaryota","Plantae","Spermatophyta","Dactylis glomerata (cocksfoot)","Present","Native","","USDA-ARS (2015)","Full",
"Eukaryota","Plantae","Spermatophyta","Danthonia decumbens (heath grass)","Present","Native","","USDA-ARS (2015); Roskov et al. (2015)","Full",
"Eukaryota","Plantae","Spermatophyta","Datura stramonium (jimsonweed)","Present","","","Moore (1972)","Full",
"Eukaryota","Plantae","Spermatophyta","Delphinium elatum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Descurainia sophia (flixweed)","Present","Native","","USDA-ARS (2016)","Full",
"Eukaryota","Plantae","Spermatophyta","Dianthus armeria (Deptford pink)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Digitalis lutea","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Digitaria sanguinalis (large crabgrass)","Present","Native","","Tutin et al. (1980)","Full",
"Eukaryota","Plantae","Spermatophyta","Diplotaxis tenuifolia","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Dipsacus fullonum (common teasel)","Present","Native","","USDA-ARS (2013)","Full",
"Eukaryota","Plantae","Spermatophyta","Dipsacus laciniatus (cutleaf teasel)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Dolichandra unguis-cati (cat's claw creeper)","Present","Introduced","","ISSG (2016)","Full",
"Eukaryota","Plantae","Spermatophyta","Dombeya wallichii (pink ball)","Present, Only in captivity/cultivation","Introduced","","Anonymous (1896)","Full",
"Eukaryota","Plantae","Spermatophyta","Dorycnium pentaphyllum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Draba aizoides","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Echinochloa crus-galli (barnyard grass)","Present","","","Ammon et al. (1976); USDA-ARS (2014)","Full",
"Eukaryota","Plantae","Spermatophyta","Echinocystis lobata (wild cucumber)","Present","Introduced","","Priszter (1955)","Full",
"Eukaryota","Plantae","Spermatophyta","Echinops sphaerocephalus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Egeria densa (leafy elodea)","Present","Introduced","Invasive","Royal Botanic Garden Edinburgh (2003); EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Eleocharis atropurpurea","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Eleusine indica (goose grass)","Present","Introduced","Invasive","Wittenberg (2005)","Full",
"Eukaryota","Plantae","Spermatophyta","Elodea canadensis (Canadian pondweed)","Present, Widespread","Introduced","Invasive","Sher-Kaul et al. (1995)","Full",
"Eukaryota","Plantae","Spermatophyta","Elodea nuttallii (Nuttall's waterweed)","Present","Introduced","","DAISIE (2009); EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Elymus hispidus (intermediate wheatgrass)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Elymus repens (quackgrass)","Present","","","Sturny et al. (1984); Bohren (2009)","Full",
"Eukaryota","Plantae","Spermatophyta","Epilobium ciliatum (northern willowherb)","Present","Introduced","Invasive","Invasive Alien Species in Switzerland (2006)","Full",
"Eukaryota","Plantae","Spermatophyta","Epimedium alpinum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Eragrostis atrovirens (thalia lovegrass)","Present","Introduced","","Clayton et al. (2016)","Full",
"Eukaryota","Plantae","Spermatophyta","Eragrostis multicaulis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Eragrostis pilosa (India lovegrass)","Present","Native","","Clayton et al. (2018)","Full",
"Eukaryota","Plantae","Spermatophyta","Eranthis hyemalis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Erigeron annuus (annual fleabane)","Present","Introduced","Invasive","Trtikova et al. (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Erigeron karvinskianus (Karwinsky’s fleabane)","Present","Introduced","Invasive","Meusel and Jäger (1992)","Full",
"Eukaryota","Plantae","Spermatophyta","Erodium botrys (long-beaked stork's bill)","Present","Native","","GBIF (2013)","Full",
"Eukaryota","Plantae","Spermatophyta","Erodium ciconium","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Erodium cicutarium (common storksbill)","Present","Native","","USDA-ARS (2013)","Full",
"Eukaryota","Plantae","Spermatophyta","Erucastrum nasturtiifolium","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Erysimum repandum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Erysimum strictum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Euclidium syriacum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Eupatorium cannabinum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Euphorbia chamaesyce","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Euphorbia dulcis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Euphorbia maculata","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Euphorbia seguieriana","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Euphorbia virgata","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Euphrasia stricta","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Fagopyrum tataricum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Fallopia convolvulus (black bindweed)","Present","","","Mayor and Maillard (1995); USDA-ARS (2015)","Full",
"Eukaryota","Plantae","Spermatophyta","Fallopia japonica (Japanese knotweed)","Present","Introduced","Invasive","Landolt (1991); EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Fallopia sachalinensis (giant knotweed)","Present, Localized","Introduced","Invasive","Jeanmonod (2005); EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Fallopia x bohemica","Present","","","Botta-Dukát and Balogh (2008); Parepa et al. (2013); EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Festuca arundinacea (tall fescue)","Present","Native","","eMonocot (2016)","Full",
"Eukaryota","Plantae","Spermatophyta","Festuca heterophylla","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Festuca pratensis (meadow fescue)","Present","Native","","GrassWorld (2016); Euro+Med (2016)","Full",
"Eukaryota","Plantae","Spermatophyta","Ficus carica (common fig)","Present","Introduced","","DAISIE (2014)","Full",
"Eukaryota","Plantae","Spermatophyta","Filipendula ulmaria (queen-of-the-meadow)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Foeniculum vulgare (fennel)","Present","Introduced","","DAISIE (2015)","Full",
"Eukaryota","Plantae","Spermatophyta","Fragaria vesca (wild strawberry)","Present","Native","","Darrow (1966)","Full",
"Eukaryota","Plantae","Spermatophyta","Fragaria viridis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Frangula alnus (alder buckthorn)","Present","Native","","Tutin (1968)","Full",
"Eukaryota","Plantae","Spermatophyta","Fumaria capreolata","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Fumaria densiflora","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Gagea minima","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Gagea pratensis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Galeopsis ladanum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Galeopsis segetum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Galeopsis tetrahit","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Galinsoga parviflora (gallant soldier)","Present, Localized","","","Stalder (1978); DAISIE (2014)","Full",
"Eukaryota","Plantae","Spermatophyta","Galinsoga quadriradiata (shaggy soldier)","Present","Introduced","","DAISIE (2014)","Full",
"Eukaryota","Plantae","Spermatophyta","Galium aparine (cleavers)","Present","","","Bohren (2009)","Full",
"Eukaryota","Plantae","Spermatophyta","Galium saxatile","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Galium verrucosum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Gaudinia fragilis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Genista sagittalis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Gentiana acaulis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Gentiana lutea","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Geranium columbinum (longstalk cranesbill)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Geranium dissectum (cutleaf geranium)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Geranium molle (dovefoot geranium)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Geranium nodosum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Geranium phaeum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Geranium pratense","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Geranium pusillum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Geranium robertianum (herb-robert)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Geranium sibiricum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Glaucium flavum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Glechoma hederacea (ground ivy)","Present","Native","","USDA-NRCS (2013)","Full",
"Eukaryota","Plantae","Spermatophyta","Gleditsia triacanthos (honey locust)","Present, Planted","Introduced","","CABI (Undated)","Full",
"Eukaryota","Plantae","Spermatophyta","Glyceria declinata (small sweet grass)","Present","Native","","USDA-ARS (2012)","Full",
"Eukaryota","Plantae","Spermatophyta","Glyceria fluitans","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Glyceria maxima (reed sweet-grass)","Present","Native","","USDA-ARS (2009)","Full",
"Eukaryota","Plantae","Spermatophyta","Glyceria striata","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Gunnera manicata","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Gypsophila muralis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Gypsophila repens","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Hedera helix (ivy)","Present, Widespread","Native","","Tutin (1968)","Full",
"Eukaryota","Plantae","Spermatophyta","Helianthus annuus (sunflower)","Present","","","FAO (2009)","Full",
"Eukaryota","Plantae","Spermatophyta","Helianthus pauciflorus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Helianthus tuberosus (Jerusalem artichoke)","Present, Widespread","Introduced","Invasive","CABI (Undated); EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Helictotrichon pratense","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Helictotrichon pubescens","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Helminthotheca echioides (bristly oxtongue)","Present","Native","","Greuter (2006); USDA-ARS (2016)","Full",
"Eukaryota","Plantae","Spermatophyta","Hemerocallis fulva (tawny daylily)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Heracleum mantegazzianum (giant hogweed)","Present, Widespread","Introduced","Invasive","Brummitt (1968); Tiley et al. (1996); Hansen et al. (2006); Jahodova et al. (2007); Bohren (2009); EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Herniaria glabra","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Hirschfeldia incana (shortpod mustard)","Present","Introduced","","USDA-ARS (2016)","Full",
"Eukaryota","Plantae","Spermatophyta","Holcus lanatus (common velvet grass)","Present","Native","","USDA-ARS (2013)","Full",
"Eukaryota","Plantae","Spermatophyta","Hordeum secalinum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Hottonia palustris","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Humulus scandens (Japanese hop)","Present","Introduced","","EPPO (2019)","Full",
"Eukaryota","Plantae","Spermatophyta","Hydrocharis morsus-ranae","Present, Few occurrences","Native","","Sager and Clerc (2006)","Full",
"Eukaryota","Plantae","Spermatophyta","Hyoscyamus niger (black henbane)","Present","Native","","USDA-ARS (2015)","Full",
"Eukaryota","Plantae","Spermatophyta","Hypericum androsaemum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Hypericum calycinum (Aaron's beard)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Hypericum perforatum (St John's wort)","Present","Native","","USDA-ARS (2015); Debrunner et al. (2000)","Full",
"Eukaryota","Plantae","Spermatophyta","Hypochaeris radicata (cat's ear)","Present","Native","","USDA-NRCS (2013)","Full",
"Eukaryota","Plantae","Spermatophyta","Impatiens glandulifera (Himalayan balsam)","Present, Widespread","Introduced","Invasive","CABI (Undated); Sebald et al. (1998); EPPO (2020); CABI (Undated)","Full",
"Eukaryota","Plantae","Spermatophyta","Impatiens parviflora (small balsam)","Present, Widespread","Introduced","","Trepl (1984)","Full",
"Eukaryota","Plantae","Spermatophyta","Inula britannica (british yellowhead)","Present","Native","","USDA-ARS (2011)","Full",
"Eukaryota","Plantae","Spermatophyta","Iris foetidissima","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Iris lutescens","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Isatis tinctoria (dyer's woad)","Present","Introduced","","Ball and Akeroyd (2010); Spataro and Negri (2008)","Full",
"Eukaryota","Plantae","Spermatophyta","Iva xanthiifolia (marsh-elder)","Present, Few occurrences","Introduced","","Schmid-Hollinger (1994); Infoflora (2014)","Full",
"Eukaryota","Plantae","Spermatophyta","Juncus effusus (common rush)","Present","Native","","Kirschner (2002)","Full",
"Eukaryota","Plantae","Spermatophyta","Juncus tenuis (slender rush)","Present","Introduced","","USDA-ARS (2016)","Full",
"Eukaryota","Plantae","Spermatophyta","Knautia arvensis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Koeleria macrantha","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Lactuca saligna","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Lagarosiphon major (African elodea)","Present","Introduced","","ISSG (2006); EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Lamium amplexicaule (henbit deadnettle)","Present","Native","","Royal Botanic Garden Edinburgh (2003)","Full",
"Eukaryota","Plantae","Spermatophyta","Lamium galeobdolon (yellow archangel)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Lathyrus heterophyllus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Lathyrus hirsutus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Lathyrus niger","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Lathyrus nissolia","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Lathyrus palustris","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Lathyrus pratensis","Present","","","Suter et al. (2007)","Basic",
"Eukaryota","Plantae","Spermatophyta","Lathyrus sphaericus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Lathyrus vernus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Legousia hybrida","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Lemna minuta","Present","Introduced","","DAISIE (2008); Preston and Croft (1997)","Full",
"Eukaryota","Plantae","Spermatophyta","Leontopodium alpinum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Lepidium densiflorum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Lepidium didymum (lesser swine-cress)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Lepidium graminifolium","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Lepidium latifolium (perennial pepperweed)","Present","Native","","CABI (Undated)","Full",
"Eukaryota","Plantae","Spermatophyta","Lepidium ruderale","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Lepidium virginicum (Virginian peppercress)","Present","Introduced","","USDA-ARS (2016)","Full",
"Eukaryota","Plantae","Spermatophyta","Leucanthemum praecox","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Leucanthemum vulgare (oxeye daisy)","Present","Native","","USDA-ARS (2015)","Full",
"Eukaryota","Plantae","Spermatophyta","Leucojum vernum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Ligustrum lucidum (broad-leaf privet)","Present, Only in captivity/cultivation","Introduced","","DAISIE (2015)","Full",
"Eukaryota","Plantae","Spermatophyta","Ligustrum vulgare (common privet)","Present","Native","","USDA-ARS (2015)","Full",
"Eukaryota","Plantae","Spermatophyta","Lilium martagon","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Linaria arvensis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Linaria dalmatica (dalmatian toadflax)","Present, Localized","Introduced","","Leo's Dictionaries (2015)","Full",
"Eukaryota","Plantae","Spermatophyta","Linaria genistifolia (broomleaf toadflax)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Linaria repens","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Linaria simplex","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Linaria supina","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Linaria vulgaris (common toadflax)","Present","Native","","USDA-ARS (2003); USDA-ARS (2015)","Full",
"Eukaryota","Plantae","Spermatophyta","Linum narbonense","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Linum perenne","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Lithospermum officinale","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Lolium multiflorum (Italian ryegrass)","Present","Introduced","","Niggli et al. (1993); Suter et al. (2007)","Full",
"Eukaryota","Plantae","Spermatophyta","Lolium perenne (perennial ryegrass)","Present","Native","","eMonocot (2013)","Full",
"Eukaryota","Plantae","Spermatophyta","Lolium rigidum (rigid ryegrass)","Present","Native","","CABI (Undated)","Full",
"Eukaryota","Plantae","Spermatophyta","Lolium temulentum (darnel)","Present","Introduced","","Stevens and Meyes (1976)","Full",
"Eukaryota","Plantae","Spermatophyta","Lonicera japonica (Japanese honeysuckle)","Present","Introduced","Invasive","DAISIE (2014)","Full",
"Eukaryota","Plantae","Spermatophyta","Lotus maritimus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Ludwigia grandiflora (water primrose)","Present, Localized","Introduced","","EPPO (2004); EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Ludwigia palustris (marsh seedbox)","Present","Native","","POWO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Ludwigia peploides (water primrose)","Present","Introduced","","UK, Center for Ecology and Hydrology (2007)","Full",
"Eukaryota","Plantae","Spermatophyta","Luffa aegyptiaca (loofah)","Present","","","CABI (Undated)","Full",
"Eukaryota","Plantae","Spermatophyta","Lupinus polyphyllus (garden lupin)","Present","Introduced","Invasive","Flora Europaea (1968); ILDIS (2015); EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Luzula nivea","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Lychnis coronaria (rose campion)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Lysichiton americanus (American skunk cabbage)","Present, Few occurrences","","","EPPO (2020); Jörg (2007)","Full",
"Eukaryota","Plantae","Spermatophyta","Lythrum salicaria (purple loosestrife)","Present","Native","","Stuckey (1980); Mal et al. (1992)","Full",
"Eukaryota","Plantae","Spermatophyta","Mahonia aquifolium (Oregongrape)","Present","Introduced","","DAISIE (2008); EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Malva alcea","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Marrubium vulgare (horehound)","Present","Native","","USDA-ARS (2013)","Full",
"Eukaryota","Plantae","Spermatophyta","Matricaria perforata (false chamomile)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Meconopsis cambrica","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Medicago lupulina (black medick)","Present","Native","","USDA-ARS (2017); Suter et al. (2007)","Full",
"Eukaryota","Plantae","Spermatophyta","Medicago monspeliaca","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Medicago polymorpha (bur clover)","Present","Introduced","","USDA-ARS (2013)","Full",
"Eukaryota","Plantae","Spermatophyta","Melilotus albus (honey clover)","Present","Introduced","","ILDIS (2013)","Full",
"Eukaryota","Plantae","Spermatophyta","Melilotus officinalis (yellow sweet clover)","Present","Native","","USDA-ARS (2017)","Full",
"Eukaryota","Plantae","Spermatophyta","Mentha aquatica (watermint)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Mentha pulegium (pennyroyal)","Present","","","CABI Data Mining (2011); USDA-ARS (2013)","Full",
"Eukaryota","Plantae","Spermatophyta","Mentha suaveolens","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Mimulus guttatus (Monkeyflower)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Miscanthus sinensis (eulalia)","Present","","","EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Muhlenbergia schreberi","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Muscari neglectum (starch grape hyacinth)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Myagrum perfoliatum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Myosotis arvensis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Myosotis palustris (True forget-me-not)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Myosoton aquaticum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Myriophyllum heterophyllum (broadleaf watermilfoil)","Present","","","EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Myriophyllum spicatum (spiked watermilfoil)","Present","Native","","Fitter (1978)","Full",
"Eukaryota","Plantae","Spermatophyta","Nasturtium microphyllum (one-row watercress)","Present","Native","","USDA-ARS (2013)","Full",
"Eukaryota","Plantae","Spermatophyta","Nasturtium officinale (watercress)","Present","Native","","USDA-ARS (2006)","Full",
"Eukaryota","Plantae","Spermatophyta","Neslia paniculata","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Nicandra physalodes (apple of Peru)","Present","","","Moore (1972)","Full",
