No ISFS,Full Name,Short Name,Family,"200 Bellis","400 Iris","600 Dryas",Indigenat,"F value","R value","N value"
43100,Arctostaphylos uva-ursi (L.) Spreng.,Arctostaphylos uva-ursi,Ericaceae,,,*,I,2,3,2
43400,Arenaria biflora L.,Arenaria biflora,Caryophyllaceae,,,*,I,4,2,2
44300,Arenaria serpyllifolia L.,Arenaria serpyllifolia,Caryophyllaceae,,,*,I,2,4,4
45700,Arnica montana L.,Arnica montana,Asteraceae,,,*,I,3.5,2,2
45900,Arrhenatherum elatius (L.) J. Presl & C. Presl,Arrhenatherum elatius,Poaceae,*,*,*,I/ARCH,3,3,4
46100,Artemisia absinthium L.,Artemisia absinthium,Asteraceae,,*,*,I,2,4,4
46700,Artemisia campestris L.,Artemisia campestris,Asteraceae,,*,*,I,1,4,2
48000,Artemisia vulgaris L.,Artemisia vulgaris,Asteraceae,*,*,*,I,2.5,3,4
48200,Arum maculatum L.,Arum maculatum,Araceae,*,*,*,I,3,4,3
48700,Asarum europaeum L.,Asarum europaeum,Aristolochiaceae,,,*,I,3.5,4,3
49400,Asperula cynanchica L.,Asperula cynanchica,Rubiaceae,,,*,I,2,4,2
50900,Asplenium ruta-muraria L.,Asplenium ruta-muraria,Aspleniaceae,*,*,*,I,2,5,2
51400,Asplenium trichomanes L.,Asplenium trichomanes,Aspleniaceae,*,*,*,I,2,2,2
51500,Asplenium viride Huds.,Asplenium viride,Aspleniaceae,,,*,I,3.5,5,2
51800,Aster alpinus L.,Aster alpinus,Asteraceae,,,*,I,2,3,2
52000,Aster bellidiastrum (L.) Scop.,Aster bellidiastrum,Asteraceae,,,*,I,3.5,4,2
53200,Astragalus alpinus L.,Astragalus alpinus,Fabaceae,,,*,I,2.5,4,2
53900,Astragalus frigidus (L.) A. Gray,Astragalus frigidus,Fabaceae,,,*,I,3,5,3
55200,Astrantia major L.,Astrantia major,Apiaceae,,*,*,I,3.5,4,3
55400,Athamanta cretensis L.,Athamanta cretensis,Apiaceae,,,*,I,2,5,2
55700,Athyrium filix-femina (L.) Roth,Athyrium filix-femina,Athyriaceae,*,*,*,I,3,2,3
56500,Atropa bella-donna L.,Atropa bella-donna,Solanaceae,,*,*,I,2.5,4,4
57400,Avenella flexuosa (L.) Drejer,Avenella flexuosa,Poaceae,,*,*,I,2.5,1,2
58700,Bartsia alpina L.,Bartsia alpina,Orobanchaceae,,,*,I,4,3,3
59100,Bellis perennis L.,Bellis perennis,Asteraceae,*,*,*,I,3,4,3
59200,Berberis vulgaris L.,Berberis vulgaris,Berberidaceae,,*,*,I,2,4,2
60400,Betula pendula Roth,Betula pendula,Betulaceae,*,*,*,I,x,x,2
