acceptedtaxonkey,acceptedscientificname,numberofoccurrences,kingdom,phylum,class,order,family,genus,species
3085895,scleranthus perennis l.,286,plantae,tracheophyta,magnoliopsida,caryophyllales,caryophyllaceae,scleranthus,scleranthus perennis
3188757,trapa natans l.,80,plantae,tracheophyta,magnoliopsida,myrtales,lythraceae,trapa,trapa natans
3753330,saxifraga cotyledon l.,544,plantae,tracheophyta,magnoliopsida,saxifragales,saxifragaceae,saxifraga,saxifraga cotyledon
5290090,alopecurus geniculatus l.,467,plantae,tracheophyta,liliopsida,poales,poaceae,alopecurus,alopecurus geniculatus
6391150,persicaria minor (huds.) opiz,649,plantae,tracheophyta,magnoliopsida,caryophyllales,polygonaceae,persicaria,persicaria minor
5583602,salix waldsteiniana willd.,125,plantae,tracheophyta,magnoliopsida,malpighiales,salicaceae,salix,salix waldsteiniana
5354500,cytisus hirsutus l.,1,plantae,tracheophyta,magnoliopsida,fabales,fabaceae,cytisus,cytisus hirsutus
2703721,bromus madritensis l.,160,plantae,tracheophyta,liliopsida,poales,poaceae,bromus,bromus madritensis
2888307,chimaphila umbellata (l.) w.p.c.barton,66,plantae,tracheophyta,magnoliopsida,ericales,ericaceae,chimaphila,chimaphila umbellata
3028986,alchemilla pallens buser,250,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,alchemilla,alchemilla pallens
3032811,saxifraga hirculus l.,2276,plantae,tracheophyta,magnoliopsida,saxifragales,saxifragaceae,saxifraga,saxifraga hirculus
8733419,jacobaea alpina subsp. alpina,1256,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,jacobaea,jacobaea alpina
3169329,androsace maxima l.,150,plantae,tracheophyta,magnoliopsida,ericales,primulaceae,androsace,androsace maxima
3728894,phelipanche ramosa pomel,25,plantae,tracheophyta,magnoliopsida,lamiales,orobanchaceae,phelipanche,phelipanche ramosa
5397911,podospermum laciniatum dc.,442,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,podospermum,podospermum laciniatum
5356666,lathyrus bauhinii genty.,2288,plantae,tracheophyta,magnoliopsida,fabales,fabaceae,lathyrus,lathyrus bauhinii
7756318,astrantia minor l.,1723,plantae,tracheophyta,magnoliopsida,apiales,apiaceae,astrantia,astrantia minor
8017890,luzula alpina hoppe ex sturm,83,plantae,tracheophyta,liliopsida,poales,juncaceae,luzula,luzula alpina
2726592,carex pallescens l.,6086,plantae,tracheophyta,liliopsida,poales,cyperaceae,carex,carex pallescens
2767275,scilla forbesii (baker) speta,336,plantae,tracheophyta,liliopsida,asparagales,asparagaceae,scilla,scilla forbesii
2882398,ceratophyllum demersum l.,2074,plantae,tracheophyta,magnoliopsida,ceratophyllales,ceratophyllaceae,ceratophyllum,ceratophyllum demersum
2932011,solanum carolinense l.,9,plantae,tracheophyta,magnoliopsida,solanales,solanaceae,solanum,solanum carolinense
3120203,achillea atrata l.,1001,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,achillea,achillea atrata
5365026,aphanes australis rydb.,117,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,aphanes,aphanes australis
5376648,lepidium virginicum l.,1620,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,lepidium,lepidium virginicum
7222217,willemetia stipitata subsp. stipitata,352,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,willemetia,willemetia stipitata
7225617,alyssum montanum subsp. montanum,3,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,alyssum,alyssum montanum
7226788,dactylis glomerata subsp. glomerata,242,plantae,tracheophyta,liliopsida,poales,poaceae,dactylis,dactylis glomerata
8542672,cotula australis hook.f.,15,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,cotula,cotula australis
8766300,elymus athericus (link) kerguélen,130,plantae,tracheophyta,liliopsida,poales,poaceae,elymus,elymus athericus
2888763,valeriana officinalis l.,2695,plantae,tracheophyta,magnoliopsida,dipsacales,caprifoliaceae,valeriana,valeriana officinalis
2993094,rubus idaeus l.,10298,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,rubus,rubus idaeus
3026454,spiraea salicifolia l.,9,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,spiraea,spiraea salicifolia
8033980,cherleria biflora (l.) a.j.moore & dillenb.,64,plantae,tracheophyta,magnoliopsida,caryophyllales,caryophyllaceae,cherleria,cherleria biflora
4006551,hottonia palustris l.,714,plantae,tracheophyta,magnoliopsida,ericales,primulaceae,hottonia,hottonia palustris
